ID,label
50000,3
50001,7
50002,2
50003,4
50004,9
50005,9
50006,5
50007,3
50008,4
50009,5
50010,4
50011,2
50012,7
50013,4
50014,7
50015,0
50016,4
50017,9
50018,3
50019,0
50020,5
50021,5
50022,3
50023,3
50024,5
50025,2
50026,7
50027,7
50028,3
50029,7
50030,6
50031,7
50032,7
50033,3
50034,7
50035,5
50036,3
50037,7
50038,3
50039,5
50040,9
50041,3
50042,5
50043,1
50044,4
50045,9
50046,8
50047,3
50048,2
50049,3
50050,5
50051,8
50052,3
50053,5
50054,4
50055,9
50056,3
50057,5
50058,3
50059,6
50060,0
50061,1
50062,2
50063,5
50064,1
50065,7
50066,2
50067,7
50068,7
50069,2
50070,6
50071,3
50072,3
50073,5
50074,9
50075,2
50076,7
50077,8
50078,7
50079,5
50080,7
50081,7
50082,3
50083,3
50084,2
50085,1
50086,1
50087,7
50088,7
50089,2
50090,2
50091,5
50092,7
50093,3
50094,6
50095,3
50096,4
50097,5
50098,5
50099,0
50100,5
50101,7
50102,0
50103,9
50104,2
50105,2
50106,2
50107,6
50108,5
50109,4
50110,3
50111,0
50112,7
50113,8
50114,4
50115,2
50116,5
50117,3
50118,5
50119,1
50120,2
50121,5
50122,7
50123,5
50124,5
50125,5
50126,6
50127,9
50128,1
50129,7
50130,4
50131,9
50132,7
50133,5
50134,3
50135,9
50136,2
50137,2
50138,5
50139,9
50140,1
50141,0
50142,3
50143,5
50144,9
50145,6
50146,8
50147,6
50148,7
50149,0
50150,7
50151,5
50152,3
50153,7
50154,7
50155,4
50156,1
50157,7
50158,5
50159,4
50160,0
50161,4
50162,4
50163,0
50164,4
50165,9
50166,8
50167,4
50168,4
50169,1
50170,1
50171,2
50172,5
50173,1
50174,9
50175,7
50176,2
50177,0
50178,7
50179,9
50180,8
50181,9
50182,5
50183,8
50184,0
50185,6
50186,7
50187,3
50188,1
50189,5
50190,5
50191,5
50192,6
50193,0
50194,6
50195,5
50196,5
50197,6
50198,2
50199,3
50200,7
50201,1
50202,9
50203,6
50204,3
50205,7
50206,7
50207,1
50208,3
50209,5
50210,8
50211,8
50212,1
50213,2
50214,8
50215,0
50216,0
50217,1
50218,3
50219,9
50220,3
50221,2
50222,9
50223,3
50224,3
50225,2
50226,1
50227,5
50228,8
50229,6
50230,7
50231,9
50232,4
50233,6
50234,5
50235,5
50236,7
50237,5
50238,9
50239,6
50240,6
50241,2
50242,0
50243,7
50244,4
50245,9
50246,4
50247,5
50248,3
50249,4
50250,1
50251,9
50252,5
50253,7
50254,0
50255,3
50256,2
50257,6
50258,3
50259,5
50260,0
50261,5
50262,7
50263,3
50264,9
50265,1
50266,1
50267,6
50268,5
50269,9
50270,2
50271,7
50272,2
50273,2
50274,5
50275,8
50276,0
